timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
258443520,258392751,28803,0.0002633225,0.01176818,0.0046503125,0,0.0051803687,0.003600179,0.0010636827,nan,0.048726544,0.015234043,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
258647219,258599633,28803,0.000111434674,0.011406804,0.005325258,0,0.0048950603,0.0034127666,0.00041902726,nan,0.00597991,0.008793865,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
258845197,258786496,28803,7.434322e-05,0.006821013,0.0038952068,0,0.0051741214,0.0036069013,0.00022683157,nan,0.013494614,0.008478341,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
259035083,258982573,28803,0.0002442712,0.008129711,0.002713594,0,0.005139737,0.0035825477,0.000108710934,nan,0.0316691,0.006746802,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
259233110,259185652,28803,0.00012701133,0.0106337555,0.0045017847,0,0.004809644,0.0033626459,0.0009485705,nan,0.010737483,0.0008375151,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
259440112,259381481,28803,0.00014529788,0.010560479,0.0053426814,0,0.0049292934,0.0034408327,0.0004616736,nan,0.014230835,0.0044995747,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
259643655,259588622,28803,7.57741e-05,0.0074829296,0.0046843067,0,0.0049605514,0.003460422,0.00069190963,nan,0.011094515,0.00837491,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
259846817,259800920,28803,0.00020113117,0.008182714,0.0042880215,0,0.004909593,0.0034227294,0.0018973509,nan,0.020866306,0.016533822,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
260033920,259991704,28803,0.00023322609,0.0125615215,0.0059708245,0,0.0051058545,0.0035591305,0.0004959094,nan,0.032326367,0.019883271,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
260245087,260197602,28803,0.00020624226,0.014039632,0.006939546,0,0.0049188104,0.0034335523,0.00038199278,nan,0.022944719,0.009447357,0.0,0.0,0.0,0.432213,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
260434835,260382027,28803,0.00012604267,0.011721753,0.006495535,0,0.0048371996,0.0033810649,0.00075657904,nan,0.017558698,0.005901131,0.0,0.0,0.0,0.432213,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
