timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
275978924,4547396191630223993,0.0,0.0,0.0,0.0,0.0,0.0,0.8579824,1.0165617,0.9132181,0.9732243,0.04234451,-0.05586964,0.002667129,0.99842334,0.056013882,0.0036831794,-0.055974126,0.9983809,-0.010135331,-0.023484442,-0.023102803,0.0033330554,-0.050565153,0.057068408,0.007717459
275981196,4547442542917296548,0.0,0.0,0.0,0.0,0.0,0.0,0.85600543,1.0177174,0.9112768,0.9747336,0.04269445,-0.055595696,0.0025972724,0.99842334,0.056013882,0.0036831794,-0.055974126,0.9983809,-0.010135331,-0.022524068,-0.021501655,0.0033755966,-0.049854506,0.056106675,0.0052422914
275987121,4547375824895307101,0.0,0.0,0.0,0.0,0.0,0.0,0.8565107,1.016054,0.91704386,0.9733033,0.04269445,-0.055595696,0.0025972724,0.9984219,0.056018442,0.0039729173,-0.055976957,0.99838316,-0.009883948,-0.022524068,-0.021501655,0.0033755966,-0.052670993,0.050932128,0.008758013
275987368,4547525740728825667,0.0,0.0,0.0,0.0,0.0,0.0,0.85223055,1.0197923,0.90825987,0.97882843,0.04269445,-0.055595696,0.0025972724,0.9984219,0.056018442,0.0039729173,-0.055976957,0.99838316,-0.009883948,-0.022524068,-0.021501655,0.0033755966,-0.053582113,0.05589583,-0.00041168963
275993584,4547457236000413291,0.0,0.0,0.0,0.0,0.0,0.0,0.85467756,1.018084,0.91406745,0.9744266,0.04269445,-0.055595696,0.0025972724,0.99841624,0.0560925,0.004327868,-0.05604893,0.9983819,-0.009601905,-0.022524068,-0.021501655,0.0033755966,-0.050876465,0.04947318,0.0058646826
275996463,4547426342300636167,0.0,0.0,0.0,0.0,0.0,0.0,0.85550505,1.0173137,0.91893727,0.9726101,0.04302287,-0.055358946,0.0025215745,0.99842197,0.05597481,0.004532879,-0.055930585,0.99839085,-0.009363077,-0.025796812,-0.022186613,0.002785481,-0.051998444,0.049070403,0.009138624
276000426,4547302453969002025,0.0,0.0,0.0,0.0,0.0,0.0,0.852849,1.0142245,0.92319983,0.9746386,0.043365598,-0.05513972,0.0024507046,0.9984239,0.055916667,0.004819414,-0.055871606,0.9983973,-0.0090258075,-0.029472364,-0.01313174,0.004548316,-0.04841033,0.04799746,0.0101720635
276004526,4547372607964808209,0.0,0.0,0.0,0.0,0.0,0.0,0.85192657,1.0159737,0.9215433,0.9739243,0.043365598,-0.05513972,0.0024507046,0.99841696,0.056013852,0.0051091313,-0.055967182,0.99839324,-0.008867362,-0.029472364,-0.01313174,0.004548316,-0.04510539,0.045197986,0.009406865
276008697,4547442250859512726,0.0,0.0,0.0,0.0,0.0,0.0,0.851424,1.0177102,0.9178251,0.9739113,0.043365598,-0.05513972,0.0024507046,0.99841696,0.056013852,0.0051091313,-0.055967182,0.99839324,-0.008867362,-0.029472364,-0.01313174,0.004548316,-0.041096583,0.046163887,0.00752093
276012987,4547463321969068713,0.0,0.0,0.0,0.0,0.0,0.0,0.8512329,1.0182357,0.91657054,0.9741048,0.043365598,-0.05513972,0.0024507046,0.99842054,0.055930763,0.0053280517,-0.05588332,0.9983998,-0.008673003,-0.029472364,-0.01313174,0.004548316,-0.039496373,0.045832787,0.0065923603
276016942,4547658747275955542,0.0,0.0,0.0,0.0,0.0,0.0,0.8523272,1.0231093,0.9090143,0.9689249,0.043721974,-0.054952204,0.0023673773,0.99841857,0.05593255,0.005675721,-0.055883378,0.9984015,-0.008475142,-0.028245354,-0.0214141,0.003487858,-0.03338369,0.04485721,0.0056285737
276019877,4547593249024681573,0.0,0.0,0.0,0.0,0.0,0.0,0.8549753,1.0214758,0.9092346,0.9678595,0.043721974,-0.054952204,0.0023673773,0.9984197,0.055886894,0.0059083886,-0.055837065,0.99840564,-0.008283101,-0.028245354,-0.0214141,0.003487858,-0.031011157,0.046762772,0.007480079
276025098,4547477181828469817,0.0,0.0,0.0,0.0,0.0,0.0,0.85836285,1.0185815,0.9095357,0.9673624,0.044117093,-0.054716945,0.002281785,0.99841803,0.055899203,0.0060747494,-0.055849254,0.99840647,-0.008105097,-0.027931757,-0.019383753,0.003507828,-0.027354583,0.050714612,0.009754808
276028063,4547628399037050935,0.0,0.0,0.0,0.0,0.0,0.0,0.854181,1.0223523,0.9049076,0.96987915,0.044117093,-0.054716945,0.002281785,0.99841803,0.055899203,0.0060747494,-0.055849254,0.99840647,-0.008105097,-0.027931757,-0.019383753,0.003507828,-0.027066791,0.04931548,0.004274826
276032820,4547426913531223884,0.0,0.0,0.0,0.0,0.0,0.0,0.86182225,1.0173277,0.9071392,0.9659146,0.044117093,-0.054716945,0.002281785,0.99841803,0.055899203,0.0060747494,-0.055849254,0.99840647,-0.008105097,-0.027931757,-0.019383753,0.003507828,-0.022044305,0.05559999,0.011191594
