timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
168751827,4.866211,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
169251864,4.82482,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
169751877,4.8508024,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
170252531,4.8482847,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
170752003,4.847882,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
171251826,4.866412,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
171752196,4.8484864,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
172251826,4.862082,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
172751826,4.858255,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
173251826,4.8688293,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
173751862,4.842041,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
174251826,4.8645997,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
174751833,4.836804,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
175251826,4.86893,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
175751826,4.8297544,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
176251839,4.858658,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
176751828,4.8659086,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
177251826,4.8526154,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
177751826,4.8710446,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
178251833,4.844458,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
178751826,4.8804107,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
179251962,4.873764,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
179751852,4.8811154,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
180251827,4.8724546,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
180751849,4.8536224,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
181251826,4.860068,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
181751825,4.833884,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
182251835,4.8435516,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
182751827,4.842645,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
183251827,4.8448606,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
183751914,4.865002,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
184251827,4.8661103,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
