timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
161632777,161431732,161433987,0,0.4369386,-0.23700741,0.46381623,0.0025000002,0.0025000002,0.0025000002,-0.14338183,0.107878864,0.08547652,-0.030394217,0.016278943,-0.04702497,0.002510944,0.0025063213,0.0025060293,0.90972203,0.51596385,0.32391647,-0.16118571,0.054167558,-0.3652699,2,0,1
162122057,161921743,161923343,0,0.29532218,-0.17237404,0.63626015,0.0025000002,0.0025000002,0.0025000002,-0.005109042,0.04103358,-0.088630915,-0.020159306,0.010289344,-0.042057864,0.0025109502,0.002506178,0.002505929,0.0011550435,0.07464934,0.3483031,-0.08718708,0.018125866,-0.24734898,2,0,1
162615302,162411787,162350348,0,0.24212003,-0.16127695,0.8032054,0.0025000002,0.0025000002,0.0025000002,0.052895606,0.024319038,-0.25844634,-0.018454,0.018866241,-0.07846022,0.0025109763,0.0025061332,0.0025058822,0.12380953,0.026220812,2.9616764,-0.07803473,0.0891658,-0.63113695,2,1,0
163101114,162901755,162902374,0,0.29537976,-0.1833396,0.6237276,0.0025000002,0.0025000002,0.0025000002,0.00069624186,0.045261413,-0.07977599,-0.011083692,0.014274145,-0.07465925,0.0025111511,0.0025061206,0.0025058624,2.1448894e-05,0.09082626,0.2821924,-0.037242714,0.06614566,-0.5673091,2,0,1
163590989,163391732,163391896,0,0.40182155,-0.1633019,0.48622757,0.0025000002,0.0025000002,0.0025000002,-0.112900645,0.03128721,0.0625968,-0.012689979,0.002642105,-0.072413824,0.002511309,0.0025060105,0.0025057606,0.56396246,0.043401226,0.17375685,-0.045884363,-0.0061203367,-0.64920306,2,0,1
164090627,163881733,163891867,0,0.31877118,-0.15229453,0.5242247,0.0025000002,0.0025000002,0.0025000002,-0.033711195,0.020308346,0.02501595,-0.038805448,0.0057149,-0.08074371,0.002511619,0.0025059672,0.0025057215,0.050274994,0.01828655,0.02775153,-0.3599136,0.0059585623,-0.90213597,2,0,1
164579882,164371731,164308495,0,0.2537647,-0.14293467,0.80326825,0.0025000002,0.0025000002,0.0025000002,0.03870201,0.0038046688,-0.25855377,-0.015669491,0.003482083,-0.09374536,0.002511717,0.002505979,0.0025057213,0.06626037,0.0006418208,2.9643295,-0.1579981,0.002807269,-0.8921362,2,1,0
165132789,164931732,164933332,0,0.29982668,-0.26248735,0.56087875,0.0025000002,0.0025000002,0.0025000002,-0.012336373,0.1296662,-0.011526823,-0.0060395785,0.015286582,-0.061590005,0.002511772,0.0025058265,0.0025055856,0.0067321267,0.7455185,0.005891547,-0.04860516,0.06606818,-0.51301175,2,0,1
165622224,165421766,165422868,0,0.28047597,-0.10343248,0.5847397,0.0025000002,0.0025000002,0.0025000002,0.010866225,-0.0364189,-0.039304852,-0.011646297,0.017292643,-0.07853776,0.002511859,0.0025058659,0.0025056042,0.0052229953,0.0588101,0.06850676,-0.08163562,0.07445321,-0.5703162,2,0,1
166110923,165911732,165850088,0,0.32897392,-0.15548696,0.8108945,0.0025000002,0.0025000002,0.0025000002,-0.034806877,0.02014348,-0.26157808,-0.0073898486,0.026499137,-0.092822745,0.002512056,0.0025057255,0.0025054887,0.053586856,0.01799256,3.0343645,-0.025388988,0.13806123,-0.7595594,2,1,0
166601104,166401730,166401914,0,0.29557425,0.05031459,0.53807944,0.0025000002,0.0025000002,0.0025000002,0.04133618,0.0064408183,0.097663224,-0.021216182,0.0067067877,-0.04538257,0.0025194893,0.0026195566,0.0025735798,0.07535389,0.0020316362,0.41068977,-0.1774606,0.03271997,-0.576713,2,0,1
167100595,166891750,166901911,0,0.2211819,-0.16620478,0.5559921,0.0025000002,0.0025000002,0.0025000002,0.022598177,0.010336205,-0.026844978,0.0340052,0.009850023,-0.026128557,0.0025145484,0.0025076072,0.0025069213,0.022565467,0.0047599836,0.031917192,0.090456076,0.049088176,-0.2382974,2,0,1
167590461,167381735,167391428,0,0.25069177,-0.1776936,0.51928544,0.0025000002,0.0025000002,0.0025000002,0.06783122,-0.0241476,-0.024236172,0.054965135,-0.009628593,-0.03501701,0.0025119393,0.0025240222,0.0025164082,0.20352024,0.025654595,0.02627811,0.17356981,-0.00082627946,-0.14937067,2,0,1
168079445,167871731,167807952,0,0.35225052,-0.10075648,0.7286454,0.0025000002,0.0025000002,0.0025000002,-0.024007589,-0.03623122,-0.18094005,0.04241938,-0.022232128,-0.058474038,0.0025134087,0.002505859,0.0025052698,0.02547953,0.05820587,1.4520193,0.11867188,-0.033907782,-0.40031376,2,1,0
168631727,168431785,168370441,0,0.49651408,-0.25609562,0.5153604,0.0025000002,0.0025000002,0.0025000002,-0.17671892,0.117929935,0.032356985,-0.011076671,-0.006639429,-0.063838966,0.002512229,0.0025057523,0.0025052375,1.3812248,0.6166908,0.046434917,-0.14685652,-0.017777769,-0.44610047,2,1,0
169122969,168921753,168922453,0,0.30170724,-0.1057822,0.6265396,0.0025000002,0.0025000002,0.0025000002,0.019369721,-0.02795308,-0.07514542,-0.03505436,-0.010738082,-0.07034097,0.0025111209,0.0025055434,0.0025051693,0.01660109,0.034649696,0.2504496,-0.26026446,-0.024584886,-0.48717076,2,0,1
169614424,169411732,169349476,0,0.35662594,0.059924867,0.3792154,0.0025000002,0.0025000002,0.0025000002,-0.04792714,-0.17972787,0.18246979,-0.011030709,-0.05037365,-0.064761065,0.0025096883,0.0025060505,0.0025054936,0.10169528,1.432183,1.476543,-0.009182097,-0.28196734,-0.883364,2,1,0
170114268,169901736,169911864,0,0.33122864,-0.14098021,0.59364146,0.0025000002,0.0025000002,0.0025000002,-0.024097353,0.010708958,-0.038667202,-0.014159122,-0.024420826,-0.05693484,0.0025094256,0.0025054065,0.0025050945,0.02571117,0.0050855447,0.06632168,-0.012392114,-0.10719545,-0.5074973,2,0,1
170600380,170391731,170401358,0,0.32873374,-0.2255335,0.47016478,0.0025000002,0.0025000002,0.0025000002,-0.026259989,0.09033699,0.081786096,-0.005053737,-0.0033364953,-0.027731908,0.002509124,0.0025052936,0.0025050172,0.03053686,0.3619314,0.29669663,0.040034734,-0.015936164,-0.2838943,2,0,1
