timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
1004903756,1004903568,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004912824,1004912610,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004939495,1004939309,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004961466,1004961301,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004970464,1004970287,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004979380,1004979140,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1004988086,1004987660,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005000560,1005000443,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005009754,1005009527,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005026632,1005026438,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005030755,1005030596,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005039675,1005039495,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005052974,1005052799,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005083352,1005083149,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005092356,1005092152,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005096661,1005096399,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005110138,1005109935,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005148482,1005148317,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005152770,1005152597,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005156916,1005156770,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005184507,1005184230,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1005193929,1005193735,0.0,-0.0062367916,0.0,0.13877535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
