timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
972950856,972945855,0,nan,nan,0.031657245,0.019754602,-1.0051562,-0.27849692,-0.32491705,-0.13116442,-0.019589392,0.027624942,0.0031011424,0.004996556,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.137741,0.37197942,0.10382907,1.7360731,1.5455221,nan,0.9686982,0.005168916,0.003590058,0.029348234,0.01991482,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973047910,973046459,0,nan,nan,0.025747012,0.020946624,-1.0037783,-0.27849692,-0.32491705,-0.13116442,-0.053259708,0.018575711,-0.0012208212,0.0014240553,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.4928624,-0.37789848,0.089934096,1.7352781,1.5455221,nan,0.9673204,0.0050144014,0.0034884065,0.028673138,0.019640367,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973138897,973137334,0,nan,nan,0.01918535,0.022353051,-1.0029621,-0.27849692,-0.32491705,-0.13116442,-0.058666717,0.019076196,-0.0031433916,8.7148714e-05,-1.10827386e-07,-1.1289725e-05,0.00077675283,-1.0622746,0.3605882,-0.032520637,1.7351959,1.5455221,nan,0.96650416,0.0049805115,0.0034740898,0.02838266,0.019584754,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973253673,973252319,0,nan,nan,0.011115787,0.025396187,-1.0021468,-0.27849692,-0.32491705,-0.13116442,-0.055214815,0.033116687,-0.0017136808,0.0019660816,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.39159462,0.2504627,-0.18702528,1.7360485,1.5455221,nan,0.9656889,0.0055602277,0.0038773336,0.030039646,0.020692375,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973348727,973347109,0,nan,nan,0.004592464,0.027836872,-1.0012697,-0.27849692,-0.32491705,-0.13116442,-0.05120414,0.025212497,-0.00065400114,0.003245919,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.13358523,-0.28042975,-0.005648604,1.7364031,1.5455221,nan,0.96481174,0.005200563,0.0036374487,0.028611576,0.019760784,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973444742,973443089,0,nan,nan,-0.0008239167,0.030671902,-1.0006249,-0.27849692,-0.32491705,-0.13116442,-0.039851062,0.029640192,-0.0019935374,0.0020070388,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.22426076,-0.19037452,0.024080371,1.7367675,1.5455221,nan,0.96416694,0.004886939,0.0034224573,0.028099751,0.019367013,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973542959,973541681,0,nan,nan,-0.005089165,0.034198135,-1.0000329,-0.27849692,-0.32491705,-0.13116442,-0.030976292,0.028547473,0.0009031055,0.0048439363,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.12839018,0.5513995,-0.078074686,1.737505,1.5455221,nan,0.96357495,0.0048627886,0.0033998662,0.028595831,0.019625902,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973652792,973651509,0,nan,nan,-0.0077279084,0.03753784,-0.99928623,-0.27849692,-0.32491705,-0.13116442,-0.0035653678,0.022186775,0.0022476062,0.006027849,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.5616416,0.8039029,-0.18608063,1.7390608,1.5455221,nan,0.9628283,0.0050940486,0.0035503306,0.02938797,0.020035207,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973751856,973750062,0,nan,nan,-0.008124573,0.040133175,-0.9989901,-0.27849692,-0.32491705,-0.13116442,0.012987088,0.019626368,-0.00197358,0.0016971264,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.379727,-0.045104582,0.12307567,1.7414142,1.5455221,nan,0.96253216,0.0050045936,0.0034872638,0.02885619,0.019732187,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
973852888,973851135,0,nan,nan,-0.008076981,0.04283262,-0.99848366,-0.27849692,-0.32491705,-0.13116442,0.017123373,0.011348265,0.00017356017,0.0036103872,-1.10827386e-07,-1.1289725e-05,0.00077675283,1.1370277,-0.56639457,-0.18008015,1.7433175,1.5455221,nan,0.9620257,0.005159329,0.0035877686,0.029335698,0.019981682,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
