timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1089003093,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1089509089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1090015108,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1090521801,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1091027105,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1091534107,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1092040379,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1092546089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1093053095,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1093559462,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1094066345,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1094573088,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1095079089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1095586069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1096094080,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1096602343,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1097108069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1097616070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1098124157,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1098630069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1099137069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1099644680,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1100150360,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1100657071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1100701626,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1101207507,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1101715093,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1102222563,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1102729075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1103235074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1103741254,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1104247075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1104753533,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1105259074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1105765075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1106271481,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
